strategy,agents,rewards
concat,5,"[51.37287139892578, 52.06189727783203, 56.84147644042969, 59.35597610473633, 56.328651428222656, 51.89970397949219, 49.766414642333984, 56.7048454284668, 56.30988311767578, 54.4278564453125]"
concat,10,"[89.08554077148438, 84.82612609863281, 82.60655212402344, 91.83268737792969, 84.05471801757812, 81.4302749633789, 89.6347427368164, 89.41096496582031, 77.84465789794922, 86.83354187011719]"
concat,20,"[78.23207092285156, 82.20196533203125, 50.99370193481445, 69.41500091552734, 72.1821517944336, 89.16867065429688, 72.91478729248047, 79.31021881103516, 67.58389282226562, 63.88093566894531]"
mlp,5,"[8.918628692626953, 11.889284133911133, 15.096921920776367, 8.277596473693848, 10.204635620117188, 13.6323881149292, 8.105538368225098, 11.305144309997559, 2.013577938079834, 7.102862358093262]"
mlp,10,"[21.515628814697266, 23.580326080322266, 20.351001739501953, 19.5522518157959, 23.895275115966797, 16.73014259338379, 23.155956268310547, 12.095479965209961, 22.056324005126953, 26.255924224853516]"
mlp,20,"[15.27113151550293, 17.23647117614746, 10.970870971679688, 21.011497497558594, 20.7559814453125, 19.819067001342773, 20.779016494750977, 9.77952766418457, 24.5125675201416, 25.259654998779297]"
mlp_local,5,"[-15.950406074523926, -15.823164939880371, -16.19375228881836, -16.001953125, -16.011262893676758, -15.888179779052734, -15.714818000793457, -15.86884593963623, -15.446861267089844, -15.9949312210083]"
mlp_local,10,"[-16.019681930541992, -15.796670913696289, -16.075151443481445, -15.991512298583984, -15.825569152832031, -16.135967254638672, -15.75772476196289, -15.475775718688965, -15.856131553649902, -15.946146011352539]"
mlp_local,20,"[-15.965592384338379, -15.780730247497559, -16.016216278076172, -15.944981575012207, -16.023372650146484, -16.0245418548584, -15.943133354187012, -15.826732635498047, -15.575379371643066, -15.95368480682373]"
graph_sage,5,"[107.1618881225586, 103.31149291992188, 102.87618255615234, 99.64797973632812, 100.64704895019531, 105.43937683105469, 103.85896301269531, 97.7676010131836, 102.04335021972656, 103.25984191894531]"
graph_sage,10,"[94.8028564453125, 103.69035339355469, 101.23087310791016, 92.95172119140625, 94.06388092041016, 86.95121002197266, 96.38655090332031, 92.31471252441406, 99.97592163085938, 119.65787506103516]"
graph_sage,20,"[81.67701721191406, 55.65236282348633, 65.947265625, 60.89500427246094, 70.55075073242188, 74.68482971191406, 75.49974060058594, 57.32059097290039, 72.7430648803711, 67.37583923339844]"
graph_gat,5,"[91.24848175048828, 86.29420471191406, 95.80391693115234, 85.98905181884766, 89.41328430175781, 88.65464782714844, 83.50556945800781, 82.10647583007812, 85.06571197509766, 89.55635070800781]"
graph_gat,10,"[88.91962432861328, 104.68583679199219, 84.21504211425781, 105.66377258300781, 91.65833282470703, 109.09709930419922, 90.89069366455078, 92.0011215209961, 92.7680892944336, 96.62850189208984]"
graph_gat,20,"[55.75282669067383, 58.80548858642578, 58.57136535644531, 35.45451736450195, 41.18555450439453, 63.65774154663086, 70.61125183105469, 74.09355926513672, 56.36275100708008, 46.955467224121094]"
graph_gat_v2,5,"[86.81593322753906, 82.79326629638672, 89.540283203125, 88.09175872802734, 82.77852630615234, 86.44967651367188, 77.94143676757812, 87.97777557373047, 87.94974517822266, 84.39611053466797]"
graph_gat_v2,10,"[78.81147003173828, 88.53034210205078, 84.636962890625, 93.59882354736328, 90.57310485839844, 85.53192138671875, 79.70844268798828, 79.5244369506836, 85.46929931640625, 96.19276428222656]"
graph_gat_v2,20,"[51.31837844848633, 55.22372817993164, 40.86213302612305, 20.678226470947266, 45.14217758178711, 50.8212890625, 22.88234519958496, 31.890722274780273, 30.64838218688965, 36.31705093383789]"
set_transformer_inv,5,"[115.93402099609375, 101.85078430175781, 107.7188720703125, 105.8189926147461, 103.8316421508789, 118.18221282958984, 113.44625091552734, 103.63544464111328, 106.12190246582031, 100.14500427246094]"
set_transformer_inv,10,"[90.25715637207031, 114.99441528320312, 103.24962615966797, 95.48991394042969, 92.06214141845703, 87.42257690429688, 106.11077117919922, 105.00049591064453, 93.85391998291016, 104.57823181152344]"
set_transformer_inv,20,"[64.72163391113281, 36.420066833496094, 18.045503616333008, 51.062259674072266, 26.017385482788086, 24.325441360473633, 65.20008087158203, 34.79045104980469, 25.12244987487793, 42.51176452636719]"
transformer_global,5,"[86.51390838623047, 84.61140441894531, 78.77711486816406, 84.9638442993164, 72.7945327758789, 80.00128173828125, 71.9453125, 78.04470825195312, 84.98036193847656, 75.95783996582031]"
transformer_global,10,"[103.71834564208984, 106.08193969726562, 101.55581665039062, 111.38119506835938, 95.787841796875, 92.71990966796875, 108.94978332519531, 99.17770385742188, 104.07801818847656, 108.69402313232422]"
transformer_global,20,"[81.82791900634766, 67.47235107421875, 85.23606872558594, 65.01045227050781, 82.21224975585938, 109.01940155029297, 82.76922607421875, 75.39646911621094, 91.70816802978516, 76.25948333740234]"
